__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · בית,R1-01,H-01,"בעמוד מופיע ציר זמן עם השנים 1999 · 2004 · 2017. השנים 2004 ו-2017 לא הגיעו ממך — אנחנו הוספנו אותן. ציר הזמן גם אינו חלק מ-12 הפרקים שהגדרת. להשאיר ולדייק, או להוריד?",,,,ממתין לאייל,אייל,לא ברור,ציר זמן ביוגרפי (about_timeline),לא קיים ב-12 הפרקים,"ארבע תחנות מתוארכות. אומת: «ציר זמן» 0 מופעים במסמכי אייל · 2004 → 0 · 2017 → 0 · 1999 מופיע פעם אחת, בשורת ה-trust בלבד. SECTION 11 הוא פרוזה ללא שנים.",אם נשאר — השנים והטקסטים האמיתיים מאייל. אין לנו מקור.,לפי הבחירה.,home-defaults.php:44-49 · section-01-about.php,http://eyalamit-co-il-2026.s887.upress.link/#about,"תוספת שלנו, לא של אייל — ולכן ההצעה היא של נימרוד. אם אייל רוצה ציר זמן, הוא מוסר שנים; אחרת יורד.","נימרוד 17.8.26: אומת שאינו במבנה שאייל הגדיר → מקרה 3, מוצע לאייל.",,
עמוד · בית,R1-01,H-06,פרק 3 בעמוד הוא «וידאו» ואין לנו קובץ. במסמך שלך הקישור הוא מציין-מקום (XXXXXXXXXXX). נא להדביק בעמודה «מילוי» עד שלושה קישורים או שמות קבצי וידאו.,,,,ממתין לאייל,אייל,לא ברור,פרק 3 — וידאו,SECTION 03,הסקשן לא נבנה — אין מקור וידאו.,עד 3 קישורי YouTube/Vimeo או קבצים.,"בניית הסקשן לפי DEV NOTES של אייל: thumbnail + play, יחס 16:9.",tpl-chapters-home.php · סקשן חדש,https://drive.google.com/drive/folders/1fWSf3a47KxBHteTmT7mUD5bLzOLwDcze,,שלד+פלייסהולדר 16:9 חי בסטייג׳ינג (#video). H-06 נשאר ממתין לקישור האמיתי. פער 02→04 נסגר. נימרוד 17.8.26: אין שאלה — ממתין לחומר.,,
עמוד · בית,R1-01,H-07,"פרק 9 «הצצה נוספת לחוויה» — הטקסט שלך מוכן. חסרה רק המדיה: גלריה או וידאו משני, תמונות אותנטיות בלבד. מה לשים שם?",,,,ממתין לאייל,אייל,לא ברור,פרק 9 — מדיה,SECTION 09,אייל ביקש «גלריה / וידאו משני · תמונות אותנטיות בלבד (לא stock)» בלי לציין אילו.,בחירת מדיה. הטקסט כבר קיים ומאושר.,שיבוץ המדיה בפלייסהולדר הקיים.,home-defaults.php · סקשן פרק 9,http://eyalamit-co-il-2026.s887.upress.link/#peek,,פלייסהולדר מדיה חי ב-#peek («גלריה · תמונות אותנטיות בלבד») + CTA מ-C15. השאלה לאייל יכולה להיות מוצגת. בחירת המדיה עצמה עדיין ממתינה.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-01a,"המלצה של דן ארליכמן — הטקסט שלה נאבד אצלנו בעיבוד ולכן היא לא מוצגת. שחזרנו את הנוסח מהמסמך שלך. לאשר אותו, או להוריד את ההמלצה?",,,,ממתין לאייל,אייל,לא ברור,דן ארליכמן — המלצה ללא טקסט,טיפול בדיג'רידו,באג פרסר: הטקסט נבלע לתוך שדה ה-URL (C-08). זו ההמלצה היחידה של דן — לכן ירד מהעמוד.,הנוסח מהמסמך: «משתף אתכם בכתבה על המורה הנפלא שלי לנשימה מעגלית אייל עמית שממלא אותי בהשראה עמוקה ומלמד אותי להתחבר ולהפיק את צלילי הבריאה המרפאים מתוכי. תודה רבה»,תיקון רשומה 13 בקורפוס.,inc/data/ea-testimonials-fb.json idx 13,https://www.facebook.com/share/p/1DKp5Coss8/,,הטקסט קיים במסמך של אייל מילה-במילה — אישור בלבד.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-05,"עשרה ממליצים מופיעים יותר מפעם אחת בעמוד (21 מתוך 44 הכרטיסים). להשאיר הכל, או להציג המלצה אחת לכל אדם?",,,,ממתין לאייל,אייל,לא ברור,כפילויות שם עם תוכן מלא,ריכוז המלצות,קרן אברשי 3 · שירי אלקבץ · נוית צוף שטראוס · רותי שליט · קרין טננצאפ · ירון סאנצ'ו גושן · אלכס פלופ · אפרתה בנור · דרור מצליח · רני פריזאת — 2 כל אחד.,החלטת עריכה. כל ההמלצות אמיתיות ומאושרות.,סינון לפי שם ב-ea_fb_testimonials_archive().,inc/ea-testimonials-fb.php,http://eyalamit-co-il-2026.s887.upress.link/testimonials/,בחירה 2 = 34 כרטיסים במקום 44.,הכרטיסים הריקים כבר טופלו בנפרד.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-03,כותרת העמוד היא «מדיה ווידאו» אבל התוכן בו הוא 48 המלצות. הכותרת מתארת משהו אחר. מה לשים?,,,,ממתין לאייל,אייל,לא ברור,כותרת העמוד מול תוכנו,—,"H1 = «מדיה ווידאו», תת-כותרת «סרטונים, הקלטות, וכתבות» — בעוד התוכן הוא המלצות.",כותרת שתואמת. אין לנו נוסח מאייל.,לפי הבחירה.,inc/chapters/defaults/media-defaults.php (hero),http://eyalamit-co-il-2026.s887.upress.link/testimonials/,,הכתובת כבר שונתה ל-/testimonials/.,,
עמוד · המלצות — קטלוג מרכזי (ומ,R1-26,M-04,"סרטונים, הקלטות וכתבות — טרם התקבלו. נא להדביק בעמודה «מילוי» קישורים, או לציין שהם יועלו לתיקיית הדרייב.",,,,ממתין לאייל,אייל,לא ברור,"מדיה — סרטונים, הקלטות, כתבות",—,הסקשן מציג placeholder «ממתין להשלמה» — התוכן באמת חסר.,קישורים או קבצים.,שיבוץ + הסרת ה-placeholder.,inc/chapters/defaults/media-defaults.php,https://drive.google.com/drive/folders/1fWSf3a47KxBHteTmT7mUD5bLzOLwDcze,,ה-placeholder נשאר במכוון עד שיגיע חומר.,,
עמוד · טיפול בדיג'רידו,R1-02,T-01,"יש שתי גרסאות חיות של העמוד, שתיהן בטקסט שלך. בחרי איזו להעלות. ההבדלים כתובים למטה — אין צורך לחפש באתר.",,,,ממתין לאייל,אייל,לא ברור,בחירת גרסה — מוצעת מול מסמך,כל העמוד,"שתי תוספות שלנו אינן במסמך 13.8.26: רצועת תמונה עם «הנשימה היא לכולם» (אצלך זה בתוך שאלות נפוצות), וחמש שאלות על נחירות/CPAP.",בחירה בין שתי הגרסאות. אין ניסוח חדש.,"לפי הבחירה — אחת הגרסאות נשארת ב-/treatment/, השנייה יורדת.",treatment-defaults.php · treatment-eyal-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/treatment/,"גרסה מוצעת: http://eyalamit-co-il-2026.s887.upress.link/treatment/ — כוללת (1) רצועת תמונה עם המשפט «הנשימה היא לכולם» (2) חמש שאלות נוספות על נחירות ו-CPAP. גרסה לפי המסמך: http://eyalamit-co-il-2026.s887.upress.link/treatment/?compare=eyal — בלי הרצועה, ורק 15 השאלות שכתבת. כל שאר הטקסט זהה בשתי הגרסאות.","team_00 17.8.26: שני קישורים להשוואה + שורה אחת שמסבירה את ההבדלים, לא משחק מצא-את-ההבדלים. הטקסט בשתי הגרסאות הוא של אייל.",,
עמוד · טיפול בדיג'רידו,R1-02,T-02,"בסקשן «איך נראה מפגש» חסר סרטון. נא להדביק בעמודה «מילוי» קישור או שם קובץ, או לציין שאין סרטון.",,,,ממתין לאייל,אייל,לא ברור,סרטון מפגש,SECTION 06,המסמך מבקש טקסט+מדיה בלי לציין קובץ. באתר היה סרטון מדף הבית — הורד. במקומו קופסת מקום.,"קישור YouTube/Vimeo או קובץ, או «בלי סרטון».",שיבוץ הסרטון או השארת טקסט בלבד.,treatment-defaults.php · videoblk-placeholder.php,http://eyalamit-co-il-2026.s887.upress.link/treatment/#session,,אותה קופסה בשתי הגרסאות. נימרוד 17.8.26: אפשרות א — פלייסהולדר עד שיגיע קובץ.,,
עמוד · טיפול בדיג'רידו,R1-02,T-03,—,,,,בוצע,—,ברור,כפתור הירו ל-/contact/,SECTION 01,הכפתור קפץ ל-#what.,[לתיאום שיחת היכרות](/contact),cta_url=/contact/,treatment-defaults.php phero,,,בוצע 17.8.26 בשתי הגרסאות.,,
